Country,State,District,Year,"Climate Vulnerability Index (UOM:Ratio), Scaling Factor:1","Marginal And Small Landholding (%) (UOM:%(Percentage)), Scaling Factor:1","Area Covered Under Crop Insurance (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of The Area Under Rainfed Agriculture (UOM:Ratio), Scaling Factor:1","Total Area Of Forest Per 100 Rural Population (UOM:Ratio), Scaling Factor:1","Women Participation In The Workforce (%) (UOM:%(Percentage)), Scaling Factor:1","Average Days Of Employment Provided Per Household Under Mgnrega In A Year (%) (UOM:%(Percentage)), Scaling Factor:1","Road Density (UOM:Ratio), Scaling Factor:1","Functional Health Centres Per Thousand Population (UOM:Number), Scaling Factor:1","Infant Mortality Rate(Imr) (UOM:Ratio), Scaling Factor:1","Households With Electricity (%) (UOM:%(Percentage)), Scaling Factor:1","Households With The Improved Drinking Water Source (%) (UOM:%(Percentage)), Scaling Factor:1","Yield Variability Of Food Grains (UOM:Ratio), Scaling Factor:1","Per Capita Income (UOM:INR(IndianRupees)), Scaling Factor:1","Livestock Per Population (%) (UOM:%(Percentage)), Scaling Factor:1","Area Under Forest Cover (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Output Of Total Horticulture Against Value Of Agricultural Output (UOM:Ratio), Scaling Factor:1","Unirrigated Area (%) (UOM:%(Percentage)), Scaling Factor:1","Quantity Ground Water Extracted Per 1000 Hectare (UOM:Number), Scaling Factor:1","Rural Households Having Kisan Credit Card (%) (UOM:%(Percentage)), Scaling Factor:1","Self Help Groups Per 1000 Population (UOM:Number), Scaling Factor:1","Doctors Per 1000 Population (UOM:Number), Scaling Factor:1","Population Below Poverty Line (%) (UOM:%(Percentage)), Scaling Factor:1","Proportion Of Income Generated From Tertiary Sector (UOM:Ratio), Scaling Factor:1","Forest Area Per 1,000 Rural Population (UOM:Number), Scaling Factor:1","Share Of Horticulture In Agriculture (UOM:Ratio), Scaling Factor:1","Proportion Of Net Irrigated Area (UOM:Ratio), Scaling Factor:1","Availability Of Ground Water (UOM:L(Litre)), Scaling Factor:1","Population In Multi- Hazard Areas (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Banks Per 1000 Rural Population (UOM:Number), Scaling Factor:1","Vector Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Water Borne Diseases Per 1,000 Population (UOM:Number), Scaling Factor:1","Agricultural Labourers (%) (UOM:%(Percentage)), Scaling Factor:1","Value Of Agricultural Output To Value Of Horticulture Output (UOM:Ratio), Scaling Factor:1","Net Irrigated Area To Net Sown Area (UOM:Ratio), Scaling Factor:1","Length Of Roads Per 100 Sqkm (UOM:Ratio), Scaling Factor:1","Households Availing Banking Services (%) (UOM:%(Percentage)), Scaling Factor:1","Share Of Area Insured Under National Institute Of Advanced Studies (UOM:Ratio), Scaling Factor:1","Net Sown Area Under Horticulture (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Improved Sanitation Facility (%) (UOM:%(Percentage)), Scaling Factor:1","Female Literacy Rate (%) (UOM:%(Percentage)), Scaling Factor:1","Net Area Under Agriculture To Total Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Net Un- Irrigated Area To Net Sown Area (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Monthly Income Of Highest Earning Household Members In A Rural Area Less Than Rs 5,000/- (%) (UOM:%(Percentage)), Scaling Factor:1","Rural Households With No Land Ownership (%) (UOM:%(Percentage)), Scaling Factor:1","Net Irrigated By Net Sown (%) (UOM:%(Percentage)), Scaling Factor:1","Drainage Density (UOM:Ratio), Scaling Factor:1","Natural Resource Management Works Per 1,000 Hectares (UOM:Number), Scaling Factor:1","Anganwadi Centres Per 1000 Hectares (UOM:Number), Scaling Factor:1","Percentage Of Agricultural Area Under Slopes Greater Than 45 Degree (UOM:%(Percentage)), Scaling Factor:1","Total Crop Produced In Both Agricultural And Horticultural Crops (%) (UOM:%(Percentage)), Scaling Factor:1","Main And Local Markets Per Geographical Area (%) (UOM:%(Percentage)), Scaling Factor:1","Water Scarcity (UOM:Number), Scaling Factor:1","Soil Fertility (UOM:Ratio), Scaling Factor:1","Crop Diversification Index (UOM:Ratio), Scaling Factor:1","Road Connectivity (%) (UOM:%(Percentage)), Scaling Factor:1","Access To Market (UOM:Ratio), Scaling Factor:1","Income Diversification Within Agriculture Sector (UOM:INR(IndianRupees)), Scaling Factor:1","Water Availability (UOM:L(Litre)), Scaling Factor:1","Area Under Water Bodies (%) (UOM:%(Percentage)), Scaling Factor:1","Fair Price Shops Per 1000 Population (UOM:Number), Scaling Factor:1","Total Female Workforce (UOM:Number), Scaling Factor:1","Stage Of Groundwater Development (%) (UOM:%(Percentage)), Scaling Factor:1","Cropping Intensity (UOM:Ratio), Scaling Factor:1","Proportion Of Area Under Commercial Crops To Set Sown Area (UOM:Ratio), Scaling Factor:1","Variability Of Crop, Livestock, And Fish Yield (UOM:Ratio), Scaling Factor:1","Available Water Resources Under Fish Culture (%) (UOM:%(Percentage)), Scaling Factor:1","Degree Of Forest Dependence By Rural Tribal Communities (UOM:Ratio), Scaling Factor:1","Approved Minor Forest Produce (Mfp) Microenterprises (UOM:Number), Scaling Factor:1","Dependency Ratio Of Rural Households Below The Poverty Line (UOM:Ratio), Scaling Factor:1","Establishments By Oae, Estt, Micro, Small And Medium (UOM:Number), Scaling Factor:1","Functional Health Care Facilities Per 10,000 Population (UOM:PerTenThousand(10000)), Scaling Factor:1","Households With Any Usual Member Covered By A Health Scheme Or Health Insurance (UOM:Number), Scaling Factor:1"
India,Gujarat,Panch Mahals,"Calendar Year (Jan - Dec), 2021",0.576,0.81,,0.52,,0.67,42.09,0,0.22,60.5,90.2,88.95,0.24,,0.41,2.39,,,,,,,,,,,,,,,,,,,,,,,,45.55,67.8,,,80.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Patan,"Calendar Year (Jan - Dec), 2021",0.604,0.58,,0.7,,0.31,38.04,0.05,0.3,57,93.2,95.8,0.33,,0.36,1.77,,,,,,,,,,,,,,,,,,,,,,,,56.3,61.4,,,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Porbandar,"Calendar Year (Jan - Dec), 2021",0.604,0.66,,0.84,,0.25,47,0.14,0.18,51,99.3,85.1,0.26,,0.3,5.47,,,,,,,,,,,,,,,,,,,,,,,,72.4,78.5,,,62.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Rajkot,"Calendar Year (Jan - Dec), 2021",0.593,0.75,,0.71,,0.24,48.72,0.18,0.2,49,97.1,86.8,0.16,,0.22,1.67,,,,,,,,,,,,,,,,,,,,,,,,60,74.6,,,58.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Sabar Kantha,"Calendar Year (Jan - Dec), 2021",0.554,0.74,,0.63,,0.37,39.2,0.07,0.25,58,95.2,94.2,0.2,,0.52,1.38,,,,,,,,,,,,,,,,,,,,,,,,46.7,68.2,,,71.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Surat,"Calendar Year (Jan - Dec), 2021",0.517,0.71,,0.4,,0.16,36.84,0.51,0.08,48,98.3,93.4,0.19,,0.06,10.99,,,,,,,,,,,,,,,,,,,,,,,,77.4,81,,,63.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Surendranagar,"Calendar Year (Jan - Dec), 2021",0.593,0.75,,0.71,,0.24,48.72,0.18,0.2,49,97.1,86.8,0.16,,0.22,1.67,,,,,,,,,,,,,,,,,,,,,,,,60,74.6,,,58.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Tapi,"Calendar Year (Jan - Dec), 2021",0.571,0.68,,0.61,,0.44,22.62,0.04,0.36,53,91.6,87.6,0.27,,0.37,25.24,,,,,,,,,,,,,,,,,,,,,,,,38.6,67.2,,,66.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Vadodara,"Calendar Year (Jan - Dec), 2021",0.555,0.72,,0.59,,0.27,45.93,0.2,0.17,58,97,95.5,0.21,,0.19,7.99,,,,,,,,,,,,,,,,,,,,,,,,60.8,71.6,,,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Gujarat,Valsad,"Calendar Year (Jan - Dec), 2021",0.564,0.82,,0.64,,0.31,34.81,0.24,0.25,45,98.3,68.7,0.18,,0.15,32.77,,,,,,,,,,,,,,,,,,,,,,,,61.2,76.2,,,71.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Haryana,Ambala,"Calendar Year (Jan - Dec), 2021",0.499,0.76,0.65,0.12,,0.14,36.27,0.69,0.12,43,95.28,,0.08,0.83,0.14,,,,51.14,,,,,,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Bhiwani,"Calendar Year (Jan - Dec), 2021",0.548,0.67,2.85,0.5,,0.31,24.48,0.49,0.16,50,97.5,,0.13,0.96,0.26,,,,74.4,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Charki Dadri,"Calendar Year (Jan - Dec), 2021",,0.67,2.85,0.5,,0.31,24.48,0.49,0.16,50,97.5,,0.13,0.96,0.26,,,,74.4,,,,,,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Faridabad,"Calendar Year (Jan - Dec), 2021",0.58,0.78,0.09,0,,0.18,42.25,0.66,0.07,57,98.16,,0.13,0.71,0.07,,,,18.55,,,,,,18.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Fatehabad,"Calendar Year (Jan - Dec), 2021",0.445,0.6,2.03,0.02,,0.29,35.64,0.58,0.17,57,97.92,,0.07,0.94,0.27,,,,92.96,,,,,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Gurugram,"Calendar Year (Jan - Dec), 2021",0.486,0.79,0.23,0,,0.21,52.37,0.5,0.08,41,97.5,,0.12,0,0.08,,,,42.12,,,,,,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Hisar,"Calendar Year (Jan - Dec), 2021",0.469,0.55,2.94,0.24,,0.29,28.22,0.49,0.14,53,97.5,,0.07,0.9,0.25,,,,66.27,,,,,,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Jhajjar,"Calendar Year (Jan - Dec), 2021",0.524,0.81,0.47,0.17,,0.23,38.13,0.6,0.18,47,97.92,,0.15,0.92,0.18,,,,21.17,,,,,,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Jind,"Calendar Year (Jan - Dec), 2021",0.502,0.75,1.83,0.02,,0.3,31.65,0.37,0.15,56,99.38,,0.07,0.96,0.28,,,,102.04,,,,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Kaithal,"Calendar Year (Jan - Dec), 2021",0.514,0.6,0.94,0,,0.22,31.19,0.72,0.16,64,100,,0.08,0.95,0.26,,,,104.78,,,,,,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Karnal,"Calendar Year (Jan - Dec), 2021",0.511,0.69,1.17,0.01,,0.2,37.12,0.59,0.12,65,94.38,,0.09,0.89,0.17,,,,118.7,,,,,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Kurukshetra,"Calendar Year (Jan - Dec), 2021",0.486,0.67,1.03,0,,0.22,24.62,0.7,0.15,49,97.92,,0.08,0.92,0.18,,,,73.01,,,,,,6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Mahendragarh,"Calendar Year (Jan - Dec), 2021",0.535,0.78,0.82,0.72,,0.31,49.09,0.5,0.18,54,97.92,,0.12,0.98,0.2,,,,26.3,,,,,,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Nuh,"Calendar Year (Jan - Dec), 2021",0.663,0.71,0.17,0.4,,0.23,54.02,0.55,0.11,78,89.58,,0.13,1,0.14,,,,18.73,,,,,,8.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.13,,,,,,,,,,,,,,,,,
India,Haryana,Palwal,"Calendar Year (Jan - Dec), 2021",0.502,0,0.45,0.07,,0.22,54.64,0.53,0.12,57,79.02,,0.07,0.95,0.18,,,,50.14,,,,,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Panchkula,"Calendar Year (Jan - Dec), 2021",0.523,0.75,0.09,0.8,,0.22,37.73,0.58,0.11,50,98.21,,0.15,0.82,0.13,,,,8.32,,,,,,154.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Panipat,"Calendar Year (Jan - Dec), 2021",0.493,0.7,0.52,0,,0.2,42.5,0.62,0.1,49,92.97,,0.09,0.72,0.14,,,,56.07,,,,,,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.12,,,,,,,,,,,,,,,,,
India,Haryana,Rewari,"Calendar Year (Jan - Dec), 2021",0.487,0.74,0.71,0.04,,0.3,32.14,0.6,0.15,81,94.79,,0.13,0.82,0.17,,,,35.08,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Rohtak,"Calendar Year (Jan - Dec), 2021",0.52,0.79,0.45,0.14,,0.21,44.24,0.54,0.14,46,97.62,,0.15,0.92,0.16,,,,19.06,,,,,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Sirsa,"Calendar Year (Jan - Dec), 2021",0.476,0.58,3.78,0.07,,0.26,20.57,0.4,0.14,52,95.63,,0.21,0.93,0.27,,,,128.88,,,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Sonipat,"Calendar Year (Jan - Dec), 2021",0.498,0.7,0.9,0.01,,0.25,39.63,0.6,0.14,45,88.75,,0.09,0.88,0.16,,,,66.85,,,,,,9.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Haryana,Yamunanagar,"Calendar Year (Jan - Dec), 2021",0.511,0.66,0.4,0.03,,0.12,44.4,0.63,0.12,51,97.66,,0.09,0.91,0.14,,,,75.49,,,,,,30.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Bilaspur,"Calendar Year (Jan - Dec), 2021",0.574,,0.29,0.86,0.11,0.46,47.92,0.07,0.44,56,,82.8,0.25,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,92.1,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Chamba,"Calendar Year (Jan - Dec), 2021",0.369,,1.48,0.91,0.51,0.46,69.09,0.02,0.45,46,,89.4,0.28,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,67.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Hamirpur,"Calendar Year (Jan - Dec), 2021",0.48,,0.41,0.94,0.08,0.51,40.31,0.09,0.42,46,,96.8,0.24,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,97.8,,,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Kangra,"Calendar Year (Jan - Dec), 2021",0.501,,0.23,0.7,0.17,0.4,39.61,0.03,0.38,57,,97.8,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,94.3,,,48.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Kinnaur,"Calendar Year (Jan - Dec), 2021",0.35,,59.85,0.34,0.77,0.4,60.9,0,0.76,47,,92.7,0.21,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,87.7,,,52.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Kullu,"Calendar Year (Jan - Dec), 2021",0.392,,41.74,0.93,0.5,0.45,41.94,0.01,0.32,46,,94.7,0.2,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,64.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Lahul and Spiti,"Calendar Year (Jan - Dec), 2021",0.344,,12.28,0.09,0.51,0.44,35.5,0,1.81,43,,97.1,0.27,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,,,50.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Mandi,"Calendar Year (Jan - Dec), 2021",0.455,,9.89,0.85,0.19,0.48,46.96,0.04,0.44,38,,96,0.71,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,,,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Shimla,"Calendar Year (Jan - Dec), 2021",0.396,,53.68,0.97,0.39,0.4,41.34,0.05,0.26,45,,97.8,0.27,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,85.8,,,53.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Sirmaur,"Calendar Year (Jan - Dec), 2021",0.369,,1.08,0.61,0.29,0.4,49.78,0.03,0.75,58,,90.7,0.22,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,,,64.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Solan,"Calendar Year (Jan - Dec), 2021",0.511,,0.17,0.64,0.19,0.36,42.97,0.08,0.39,46,,91.9,0.36,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,53.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Himachal Pradesh,Una,"Calendar Year (Jan - Dec), 2021",0.464,,0.36,0.54,0.13,0.34,53.13,0.11,0.33,59,,98.5,0.21,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,91.9,,,50.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Anantnag,"Calendar Year (Jan - Dec), 2021",0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Bandipora,"Calendar Year (Jan - Dec), 2021",0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Baramulla,"Calendar Year (Jan - Dec), 2021",0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Budgam,"Calendar Year (Jan - Dec), 2021",0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Doda,"Calendar Year (Jan - Dec), 2021",0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Ganderbal,"Calendar Year (Jan - Dec), 2021",0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Jammu,"Calendar Year (Jan - Dec), 2021",0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Kathua,"Calendar Year (Jan - Dec), 2021",0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Kishtwar,"Calendar Year (Jan - Dec), 2021",0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Kulgam,"Calendar Year (Jan - Dec), 2021",0.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Kupwara,"Calendar Year (Jan - Dec), 2021",0.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Poonch,"Calendar Year (Jan - Dec), 2021",0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Pulwama,"Calendar Year (Jan - Dec), 2021",0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Rajouri,"Calendar Year (Jan - Dec), 2021",0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Ramban,"Calendar Year (Jan - Dec), 2021",0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Reasi,"Calendar Year (Jan - Dec), 2021",0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Samba,"Calendar Year (Jan - Dec), 2021",0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Shopian,"Calendar Year (Jan - Dec), 2021",0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Srinagar,"Calendar Year (Jan - Dec), 2021",0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jammu and Kashmir,Udhampur,"Calendar Year (Jan - Dec), 2021",0.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Bokaro,"Calendar Year (Jan - Dec), 2021",0.599,0.83,1.03,0.89,0.05,,44.39,,0.07,,,79.8,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3,,,76.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Chatra,"Calendar Year (Jan - Dec), 2021",0.651,0.9,0.83,0.77,0.18,,43.28,,0.11,,,66.5,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,,83.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Deoghar,"Calendar Year (Jan - Dec), 2021",0.603,0.81,0.9,0.83,0.02,,46.2,,0.14,,,86.6,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.7,,,84.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Dhanbad,"Calendar Year (Jan - Dec), 2021",0.599,0.9,1.54,0.91,0.02,,49.7,,0.06,,,78.9,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,,,73.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Dumka,"Calendar Year (Jan - Dec), 2021",0.596,0.68,0.23,0.9,0.05,,50.83,,0.23,,,89,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.8,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,East Singhbum,"Calendar Year (Jan - Dec), 2021",0.609,0.88,0.5,0.96,0.11,,42.06,,0.12,,,90.2,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,,,67.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Garhwa,"Calendar Year (Jan - Dec), 2021",0.626,0.92,0.79,0.81,0.11,,47.72,,0.1,,,86.3,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,81.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Giridih,"Calendar Year (Jan - Dec), 2021",0.657,0.94,0.67,0.37,0.04,,48.87,,0.09,,,65.6,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.6,,,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Godda,"Calendar Year (Jan - Dec), 2021",0.642,0.78,0.25,0.81,0.03,,50.91,,0.15,,,83.8,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,80.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Gumla,"Calendar Year (Jan - Dec), 2021",0.583,0.76,0.15,0.94,0.15,,48.2,,0.25,,,47.5,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,70.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Hazaribagh,"Calendar Year (Jan - Dec), 2021",0.644,0.92,0.53,0.81,0.09,,45.74,,0.09,,,67.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6,,,72.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Jamtara,"Calendar Year (Jan - Dec), 2021",0.627,0.77,0.31,0.93,0.01,,59.04,,0.19,,,90.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,,,86.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Khunti,"Calendar Year (Jan - Dec), 2021",0.634,0.73,0.32,0.72,0.19,,45.11,,0.23,,,53.5,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,,,91.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Koderma,"Calendar Year (Jan - Dec), 2021",0.613,0.81,0.49,0.77,0.18,,46.65,,0.12,,,80.6,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6,,,74.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Latehar,"Calendar Year (Jan - Dec), 2021",0.622,0.77,0.49,0.77,0.36,,46.1,,0.16,,,76.3,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4,,,88.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Jharkhand,Lohardaga,"Calendar Year (Jan - Dec), 2021",0.639,0.75,0.3,0.74,0.12,,39.87,,0.2,,,71.2,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,85.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
